energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
118.97,0.15,0.00053,0.00011,,G,0.0000000000000199,1082.816,963.363,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
121.7817,0.0003,28.53,0.16,0.000000001396,G,,121.7818,0.0,E2,,,1.155,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
125.68,0.1,0.00513,0.00019,0.000000000007,G,,810.453,684.69,[E2],,,1.033,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
137.56,0.22,0.00074,0.00013,,G,0.000000000006,1371.721,1233.8626,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
148,0.05,0.0205,0.0011,0.000000000006,G,0.000000000004,1233.8626,1085.8408,M1+E2,1.0,6,0.569,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
150.13,0.08,0.0009,0.00008,,G,,1371.721,1221.67,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
166.91,0.25,0.0021,0.0008,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
172.1,0.4,0.00043,0.00021,,G,,1282.24,1109.200,[E2],,,0.369,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
174.8,0.22,0.00138,0.00019,0.0000000000073,G,0.0000000000073,930.546,755.3960,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
175.18,,0.004,0.0011,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
192.6,0.05,0.00681,0.00022,,G,0.0000000000073,1123.1855,930.546,[E1],,,0.0502,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
195.22,0.15,0.00205,0.00019,,G,,1318.456,1123.1855,E1,,,0.0484,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
202.74,0.13,0.0051,0.0011,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
207.03,0.23,0.00114,0.00024,,G,0.000000000004,1292.753,1085.8408,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
207.64,0.11,0.0073,0.0003,,G,,1579.427,1371.721,[E1],,,0.0382,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
209.3,,0.00017,0.000011,,G,,1318.456,1109.200,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
209.41,0.13,0.0012,0.0004,,G,,1643.421,1434.020,[E1],,,0.0402,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
209.97,0.03,0.0043,0.0007,,G,,1292.753,1082.816,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
210.95,0.14,0.0038,0.00016,0.000000000006,G,,1233.8626,1022.969,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
212.43,0.11,0.0207,0.0005,,G,0.000000000007,1022.969,810.453,E2,,,0.1706,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
237.1,0.03,0.00633,0.00019,,G,,1529.8019,1292.753,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
239.33,,0.005318,0.000022,,G,,1769.130,1529.8019,[E1],,,0.0263,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
241,,0.0003723,0.0000016,,G,,1612.88,1371.721,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
244.6974,0.0008,7.55,0.04,0.00000000006,G,0.000000001396,366.4795,121.7818,E2,,,0.1073,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
251.633,0.009,0.067,0.0019,,G,0.000000000005,1292.753,1041.1217,E1+M2,0.24,5,0.055,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
269.84,0.06,0.0078,0.0005,,G,,1292.753,1022.969,[E2],,,0.0784,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
271.08,0.04,0.0715,0.0019,0.000000000037,G,0.000000000032,615.415,344.2789,E2,,,0.0827,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
272.41,0.09,0.00064,0.00016,,G,0.000000000007,1082.816,810.453,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
275.42,0.04,0.0346,0.0008,0.000000000004,G,0.000000000007,1085.8408,810.453,M1,,,0.1015,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
285.98,0.18,0.0098,0.0016,,G,0.000000000004,1371.721,1085.8408,[E2],,,0.0653,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
286.5,0.11,0.0014,0.0003,,G,,1579.427,1292.753,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
287.1,0.12,0.00081,0.00007,,G,,1605.596,1318.456,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
295.9387,0.0017,0.44,0.004,,G,0.000000000006,1529.8019,1233.8626,E1,,,0.01523,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
315.1,0.03,0.0399,0.0011,0.0000000000073,G,0.000000000037,930.546,615.415,(E2),,,0.0518,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
316.13,0.13,0.0101,0.0005,,G,,1022.969,706.91,(E2),,,0.0478,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
320.1,0.05,0.00205,0.00011,,G,,1612.88,1292.753,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
324.83,0.03,0.0681,0.0019,,G,,1434.020,1109.200,[M1 E2],,,0.062,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
324.914,0.026,0.00497,0.00024,,G,,1643.421,1318.456,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
328.764,0.026,0.00346,0.00021,,G,,1643.421,1314.640,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
329.41,0.05,0.1213,0.0024,,G,0.0000000000000199,1292.753,963.363,[E1],,,0.01163,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
330.58,0.08,0.0093,0.0011,,G,0.000000000005,1371.721,1041.1217,[E1],,,0.01154,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
340.46,0.1,0.0266,0.0008,,G,0.00000000006,706.91,366.4795,E2,,,0.0382,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
344.2785,0.0012,26.59,0.2,0.000000000032,G,,344.2789,0.0,E2,,,0.0397,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
345.54,0.03,0.0098,0.0005,,G,0.000000000006,1579.427,1233.8626,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
348.752,0.015,0.0017,0.00016,,G,,1371.721,1022.969,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
351.66,0.05,0.0106,0.0008,,G,0.0000000000073,1282.24,930.546,E2,,,0.0373,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
354.16,0.15,0.00096,0.00011,,G,0.0000000000073,1109.200,755.3960,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
357.26,0.05,0.0061,0.0004,,G,,1649.833,1292.753,[E1],,,0.00953,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
358.48,0.07,0.00165,0.00013,,G,,1730.207,1371.721,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
367.7891,0.002,0.859,0.006,,G,0.0000000000073,1123.1855,755.3960,E1,,,0.00964,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
378.15,0.24,0.00024,0.00006,,G,0.000000000006,1612.88,1233.8626,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
379.36,0.18,0.00082,0.00021,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
385.61,0.21,0.00556,0.00024,,G,,1757.001,1371.721,[M1 E2],,,0.034,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
387.9,0.08,0.0029,0.0003,,G,0.0000000000073,1318.456,930.546,(M1+E2+E0),,,0.038,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
389.07,0.11,0.0035,0.0013,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
391.19,0.07,0.00141,0.00004,,G,,1612.88,1221.67,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
395.75,0.19,0.008,0.003,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
397.75,0.26,0.00037,0.00006,,G,,1769.130,1371.721,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
401.29,0.09,0.00064,0.00004,0.000000000004,G,,1085.8408,684.69,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
406.74,0.15,0.00082,0.00021,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
411.1165,0.0012,2.237,0.013,0.0000000000073,G,0.000000000032,755.3960,344.2789,E2,,,0.0238,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
416.02,0.03,0.1088,0.0019,,G,0.000000000006,1649.833,1233.8626,[E1],,,0.00660,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
423.45,0.04,0.00298,0.00021,0.000000000006,G,0.000000000007,1233.8626,810.453,[M1 E2],,,0.027,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
440.86,0.1,0.0062,0.0004,,G,,1550.17,1109.200,[E2],,,0.0196,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
441,,,,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
443.9606,0.0016,2.827,0.014,,G,0.000000000004,1529.8019,1085.8408,E1+M2,0.058,12,0.00598,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
444.01,0.17,0.298,0.011,0.000000000007,G,0.00000000006,810.453,366.4795,E2,,,0.01772,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
464.28,0.14,0.00045,0.00019,,G,,1757.001,1292.753,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
476.42,0.09,0.0017,0.0003,,G,,1769.130,1292.753,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
482.33,0.05,0.0247,0.0008,,G,0.000000000007,1292.753,810.453,E0+M1+E2,,,0.062,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
482.4,,0.00234,0.00011,,G,,1605.596,1123.1855,[E1],,,0.00511,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2024-04-17
